Metric,Number of Chatbot Groups,Total Topic-Level Observations,df_between,df_within,F Statistic,p-value,Eta Squared,Group Sizes,Interpretation
ROUGE Lexical Overlap,8,57,7,49,0.427,0.880691,0.0575,"{'ChatGPT-5.4': 7, 'Claude': 7, 'DeepSeek': 7, 'Gemini': 7, 'Hugging Chat': 7, 'Llama-3': 7, 'Mistral AI': 7, 'Perplexity AI': 8}",No statistically significant chatbot differences at p < .05
METEOR Lexical-Semantic Alignment,8,57,7,49,1.2891,0.275479,0.1555,"{'ChatGPT-5.4': 7, 'Claude': 7, 'DeepSeek': 7, 'Gemini': 7, 'Hugging Chat': 7, 'Llama-3': 7, 'Mistral AI': 7, 'Perplexity AI': 8}",No statistically significant chatbot differences at p < .05
Negative Sentiment Probability,8,57,7,49,0.4696,0.851774,0.0629,"{'ChatGPT-5.4': 7, 'Claude': 7, 'DeepSeek': 7, 'Gemini': 7, 'Hugging Chat': 7, 'Llama-3': 7, 'Mistral AI': 7, 'Perplexity AI': 8}",No statistically significant chatbot differences at p < .05
Flesch Reading Ease,8,57,7,49,0.6337,0.725682,0.083,"{'ChatGPT-5.4': 7, 'Claude': 7, 'DeepSeek': 7, 'Gemini': 7, 'Hugging Chat': 7, 'Llama-3': 7, 'Mistral AI': 7, 'Perplexity AI': 8}",No statistically significant chatbot differences at p < .05
Non-Hateful Language Probability,8,57,7,49,0.5965,0.755663,0.0785,"{'ChatGPT-5.4': 7, 'Claude': 7, 'DeepSeek': 7, 'Gemini': 7, 'Hugging Chat': 7, 'Llama-3': 7, 'Mistral AI': 7, 'Perplexity AI': 8}",No statistically significant chatbot differences at p < .05
Crisis-Response Reference Similarity,8,24,7,16,0.0354,0.999918,0.0152,"{'ChatGPT-5.4': 3, 'Claude': 3, 'DeepSeek': 3, 'Gemini': 3, 'Hugging Chat': 3, 'Llama-3': 3, 'Mistral AI': 3, 'Perplexity AI': 3}",No statistically significant chatbot differences at p < .05
Risk-Assessment Reference Similarity,8,24,7,16,0.2262,0.973079,0.09,"{'ChatGPT-5.4': 3, 'Claude': 3, 'DeepSeek': 3, 'Gemini': 3, 'Hugging Chat': 3, 'Llama-3': 3, 'Mistral AI': 3, 'Perplexity AI': 3}",No statistically significant chatbot differences at p < .05
